Unnamed: 0,Date,Open,High,Low,Close,Volume
3612,2024-09-06 12:15:00,1147.85,1150.4,1147.85,1149.45,46800
3613,2024-09-06 12:30:00,1150.4,1150.7,1146.9,1147.3,30600
3614,2024-09-06 12:45:00,1146.8,1147.2,1141.35,1141.75,65700
3615,2024-09-06 13:00:00,1141.65,1143.0,1140.65,1143.0,33300
3616,2024-09-06 13:15:00,1142.6,1143.2,1140.85,1142.65,46800
3617,2024-09-06 13:30:00,1142.0,1145.4,1141.95,1144.05,30600
3618,2024-09-06 13:45:00,1144.5,1145.05,1144.2,1145.05,19800
3619,2024-09-06 14:00:00,1144.7,1145.05,1141.45,1144.1,39600
3620,2024-09-06 14:15:00,1143.85,1143.85,1139.55,1139.6,50400
3621,2024-09-06 14:30:00,1140.15,1144.3,1139.2,1143.95,58500
3622,2024-09-06 14:45:00,1143.9,1144.65,1139.0,1139.5,48600
3623,2024-09-06 15:00:00,1139.6,1142.15,1139.6,1139.95,71100
3624,2024-09-06 15:15:00,1140.25,1140.65,1137.9,1139.8,124200
3625,2024-09-09 09:15:00,1140.65,1140.65,1129.3,1129.55,99900
3626,2024-09-09 09:30:00,1129.7,1136.4,1126.85,1133.9,87300
3627,2024-09-09 09:45:00,1133.9,1138.8,1133.9,1135.9,49500
3628,2024-09-09 10:00:00,1137.4,1139.6,1135.55,1138.2,38700
3629,2024-09-09 10:15:00,1137.85,1139.9,1136.5,1139.45,29700
3630,2024-09-09 10:30:00,1139.6,1145.3,1139.6,1144.45,47700
3631,2024-09-09 10:45:00,1145.4,1145.4,1139.6,1140.5,41400
3632,2024-09-09 11:00:00,1140.35,1144.0,1140.35,1143.55,43200
3633,2024-09-09 11:15:00,1143.0,1143.3,1139.35,1142.2,27000
3634,2024-09-09 11:30:00,1141.0,1147.15,1141.0,1145.8,45000
3635,2024-09-09 11:45:00,1146.55,1146.7,1143.5,1143.5,34200
3636,2024-09-09 12:00:00,1141.8,1145.85,1140.95,1145.85,34200
3637,2024-09-09 12:15:00,1145.0,1146.0,1143.3,1143.35,37800
3638,2024-09-09 12:30:00,1142.35,1144.75,1142.2,1143.2,31500
3639,2024-09-09 12:45:00,1143.45,1144.7,1142.95,1142.95,19800
3640,2024-09-09 13:00:00,1142.9,1144.15,1141.9,1142.35,14400
3641,2024-09-09 13:15:00,1142.4,1143.5,1140.7,1142.9,30600
