,Date,Open,High,Low,Close,Volume
149,20250203  14:12:00,49236.0,49281.5,49234.0,49249.0,0
150,20250203  14:14:00,49250.0,49269.5,49240.5,49262.0,0
151,20250203  14:16:00,49261.5,49268.5,49249.5,49266.5,0
152,20250203  14:18:00,49266.5,49267.0,49245.0,49252.0,0
153,20250203  14:20:00,49253.5,49254.0,49227.5,49235.5,0
154,20250203  14:22:00,49238.0,49267.5,49229.5,49247.0,0
155,20250203  14:24:00,49249.0,49262.5,49241.5,49258.5,0
156,20250203  14:26:00,49259.5,49274.5,49244.5,49261.5,0
157,20250203  14:28:00,49262.5,49280.0,49255.5,49270.5,0
158,20250203  14:30:00,49272.5,49272.5,49233.0,49240.0,0
159,20250203  14:32:00,49243.5,49270.0,49236.0,49266.0,0
160,20250203  14:34:00,49267.5,49273.5,49250.0,49260.5,0
161,20250203  14:36:00,49260.5,49281.0,49255.5,49274.0,0
162,20250203  14:38:00,49274.5,49280.0,49259.0,49274.5,0
163,20250203  14:40:00,49277.0,49284.5,49249.0,49255.5,0
164,20250203  14:42:00,49255.5,49272.0,49241.5,49271.5,0
165,20250203  14:44:00,49270.0,49287.0,49267.0,49283.0,0
166,20250203  14:46:00,49284.0,49294.5,49258.5,49265.0,0
167,20250203  14:48:00,49269.0,49285.5,49251.5,49260.0,0
168,20250203  14:50:00,49263.0,49270.5,49251.0,49259.0,0
169,20250203  14:52:00,49260.5,49287.5,49257.5,49277.5,0
170,20250203  14:54:00,49277.0,49283.5,49253.0,49270.5,0
171,20250203  14:56:00,49271.5,49290.0,49264.0,49267.0,0
172,20250203  14:58:00,49269.5,49273.5,49257.0,49261.0,0
173,20250203  15:00:00,49261.5,49298.0,49228.5,49231.5,0
174,20250203  15:02:00,49232.0,49248.0,49195.0,49197.5,0
175,20250203  15:04:00,49198.0,49208.5,49185.5,49202.0,0
176,20250203  15:06:00,49201.5,49216.0,49199.0,49208.5,0
177,20250203  15:08:00,49207.5,49241.5,49201.5,49241.5,0
178,20250203  15:10:00,49237.0,49257.5,49219.5,49220.0,0
179,20250203  15:12:00,49226.0,49234.5,49217.0,49220.5,0
180,20250203  15:14:00,49223.5,49235.5,49206.0,49210.0,0
181,20250203  15:16:00,49213.5,49215.5,49183.0,49197.0,0
182,20250203  15:18:00,49196.0,49214.5,49186.5,49208.5,0
183,20250203  15:20:00,49210.0,49216.0,49195.5,49201.5,0
184,20250203  15:22:00,49202.0,49210.5,49187.5,49193.5,0
185,20250203  15:24:00,49195.0,49218.5,49186.0,49209.0,0
186,20250203  15:26:00,49212.5,49223.0,49197.0,49208.0,0
187,20250203  15:28:00,49211.0,49233.5,49196.0,49224.0,0
188,20250204  09:15:00,49531.5,49603.0,49498.0,49594.5,0
189,20250204  09:16:00,49593.5,49668.5,49593.5,49618.0,0
190,20250204  09:18:00,49620.0,49633.0,49560.5,49560.5,0
191,20250204  09:20:00,49559.5,49614.5,49559.0,49592.0,0
192,20250204  09:22:00,49596.5,49648.5,49596.0,49641.0,0
193,20250204  09:24:00,49632.5,49661.0,49620.5,49651.0,0
194,20250204  09:26:00,49650.0,49651.0,49615.0,49635.5,0
195,20250204  09:28:00,49633.0,49636.5,49599.5,49610.5,0
196,20250204  09:30:00,49611.0,49644.5,49573.5,49617.0,0
197,20250204  09:32:00,49613.5,49695.5,49609.0,49691.5,0
198,20250204  09:34:00,49691.0,49792.5,49691.0,49792.0,0
199,20250204  09:36:00,49796.5,49894.5,49788.0,49836.0,0
200,20250204  09:38:00,49841.0,49887.0,49832.0,49876.5,0
201,20250204  09:40:00,49875.0,49959.5,49873.5,49956.5,0
202,20250204  09:42:00,49962.0,49965.5,49937.5,49943.0,0
203,20250204  09:44:00,49943.5,49987.0,49899.0,49954.0,0
204,20250204  09:46:00,49953.0,49963.5,49923.0,49946.5,0
205,20250204  09:48:00,49949.0,49983.5,49940.0,49966.5,0
206,20250204  09:50:00,49969.0,49971.5,49941.0,49961.5,0
207,20250204  09:52:00,49968.0,50017.5,49954.0,49988.5,0
208,20250204  09:54:00,49986.0,49990.5,49949.5,49951.5,0
209,20250204  09:56:00,49952.0,49983.5,49943.0,49959.0,0
210,20250204  09:58:00,49959.5,49966.5,49937.5,49961.5,0
211,20250204  10:00:00,49960.5,49988.5,49924.5,49937.0,0
212,20250204  10:02:00,49937.0,49937.0,49880.0,49894.5,0
213,20250204  10:04:00,49891.5,49940.0,49891.0,49936.0,0
214,20250204  10:06:00,49936.0,49956.0,49909.5,49918.5,0
215,20250204  10:08:00,49917.5,49926.0,49907.5,49921.0,0
216,20250204  10:10:00,49916.0,49946.5,49915.0,49936.5,0
217,20250204  10:12:00,49937.0,49944.5,49896.5,49899.5,0
218,20250204  10:14:00,49904.5,49904.5,49845.0,49857.0,0
219,20250204  10:16:00,49853.0,49892.5,49837.5,49887.5,0
220,20250204  10:18:00,49885.5,49898.5,49863.0,49879.0,0
221,20250204  10:20:00,49879.5,49917.5,49879.0,49911.5,0
222,20250204  10:22:00,49912.0,49923.0,49883.5,49888.0,0
223,20250204  10:24:00,49889.5,49894.5,49863.5,49872.5,0
224,20250204  10:26:00,49876.0,49892.0,49864.5,49871.0,0
225,20250204  10:28:00,49869.0,49877.5,49824.0,49855.0,0
226,20250204  10:30:00,49857.0,49869.0,49839.5,49840.0,0
227,20250204  10:32:00,49844.5,49846.0,49802.5,49817.0,0
228,20250204  10:34:00,49817.0,49823.0,49753.5,49782.5,0
229,20250204  10:36:00,49784.0,49790.0,49693.0,49729.0,0
230,20250204  10:38:00,49732.0,49737.5,49619.5,49619.5,0
231,20250204  10:40:00,49622.0,49698.0,49615.0,49674.0,0
232,20250204  10:42:00,49675.0,49706.0,49646.0,49704.5,0
233,20250204  10:44:00,49704.0,49714.0,49684.5,49698.0,0
234,20250204  10:46:00,49705.0,49748.0,49704.5,49707.5,0
235,20250204  10:48:00,49708.5,49722.0,49689.0,49694.0,0
236,20250204  10:50:00,49690.0,49707.0,49650.5,49657.5,0
237,20250204  10:52:00,49659.0,49664.0,49618.0,49625.0,0
238,20250204  10:54:00,49625.5,49654.0,49611.0,49647.5,0
239,20250204  10:56:00,49646.0,49696.0,49645.5,49688.0,0
