,Date,Open,High,Low,Close,Volume
3713,20250303  13:56:00,22120.7,22123.4,22108.55,22114.5,0
3714,20250303  13:58:00,22112.55,22115.45,22098.6,22100.2,0
3715,20250303  14:00:00,22099.7,22108.3,22094.2,22095.6,0
3716,20250303  14:02:00,22096.15,22113.7,22096.1,22109.45,0
3717,20250303  14:04:00,22109.7,22119.2,22107.25,22107.25,0
3718,20250303  14:06:00,22105.75,22109.5,22076.55,22077.4,0
3719,20250303  14:08:00,22076.35,22087.05,22071.9,22081.2,0
3720,20250303  14:10:00,22083.85,22107.5,22082.75,22106.15,0
3721,20250303  14:12:00,22106.35,22128.5,22106.35,22125.65,0
3722,20250303  14:14:00,22126.5,22128.4,22112.2,22112.2,0
3723,20250303  14:16:00,22113.9,22118.5,22099.25,22099.45,0
3724,20250303  14:18:00,22098.0,22107.5,22092.3,22104.0,0
3725,20250303  14:20:00,22106.9,22120.85,22106.9,22116.05,0
3726,20250303  14:22:00,22115.85,22135.05,22114.8,22130.6,0
3727,20250303  14:24:00,22131.1,22139.6,22126.45,22127.45,0
3728,20250303  14:26:00,22126.9,22147.25,22126.3,22143.15,0
3729,20250303  14:28:00,22142.2,22153.55,22142.2,22146.95,0
3730,20250303  14:30:00,22146.7,22150.8,22132.8,22138.05,0
3731,20250303  14:32:00,22140.25,22143.1,22127.45,22129.75,0
3732,20250303  14:34:00,22128.1,22142.4,22126.2,22139.8,0
3733,20250303  14:36:00,22139.9,22140.7,22125.5,22135.35,0
3734,20250303  14:38:00,22134.1,22137.3,22120.4,22129.95,0
3735,20250303  14:40:00,22129.75,22137.0,22126.7,22136.2,0
3736,20250303  14:42:00,22136.3,22138.45,22127.9,22130.1,0
3737,20250303  14:44:00,22129.85,22144.75,22129.85,22138.35,0
3738,20250303  14:46:00,22138.25,22140.1,22126.85,22129.6,0
3739,20250303  14:48:00,22130.2,22134.75,22112.35,22114.75,0
